dpkts,label,dbytes,spkts,state
-1172.0854707103451,1,1687567.2217503088,1376.4545830797827,INT
278.84899558384706,0,-2153573.9122339743,-1075.4962629537672,3
738.9809239473254,1,1209081.9888002928,-2607.538653477309,FIN
-952.9742585174357,0,1016964.2213907086,2789.4938400121932,3
882.9805960434778,1,516904.05951302825,-2605.6280062722376,INT
713.9181649722544,1,-1583761.302267025,3271.1433897346897,INT
491.36256164652286,0,1733358.180571802,1575.462635243568,3
-792.8946942145634,1,13747.303324334802,-988.2849482882956,FIN
1662.5000779851387,0,558715.5396802006,1156.365020245645,0
2335.3006766722156,1,-1565894.0116410844,396.5753515568024,FIN
52.663049591033904,0,4628347.469868735,-1512.7197351821428,3
-1790.7592356821851,1,666876.4415409073,-91.53320600956886,INT
331.2293794840268,1,-781014.1767875311,-251.32451547444163,3
880.8102555075263,0,-1884699.8755971023,1629.4590297935056,3
-305.0203263657044,0,-468010.15607606084,-2035.335771700645,1
-284.49346099869484,0,309152.0760540126,-2893.6137774779577,3
693.9602691892918,0,3100526.528509441,-405.88588264966484,0
796.5084093346394,0,589161.6048070814,-6452.656446545287,1
-761.3930187552248,1,-2261844.3688849607,1518.4860916375853,INT
-1346.244379897927,1,-2250252.4201841853,134.7247121027192,FIN
1259.6052555272818,0,-723686.5248560945,-1814.3896115862667,1
-1559.9570170757263,1,292411.78009956615,-804.8315592675741,FIN
-480.6218238169512,1,-852449.7761863024,-1979.3634104820392,FIN
-731.5083747231292,1,-1414369.6909797671,-2295.607974191403,3
-623.8885613505456,1,-741181.0954399011,-604.1556799832513,INT
1229.4462549412967,0,-179123.83381036395,-434.9715757544513,1
-1682.4124417991104,1,-3307210.045780586,720.7467941360142,3
1837.6296937095121,0,-2212766.435146845,-181.56517914051673,1
-46.47718406178301,0,322642.6817400781,-1406.7378782304338,1
-2.8088777129754474,0,1212376.0539744617,147.1841814593624,3
23.737103693447096,0,10979.707508399868,4216.103150471445,1
891.3768531189384,0,-2868284.288808389,1022.0377461408084,1
-661.5153202626959,0,-1129281.8617478546,-1404.636807414764,3
286.97153315834146,0,-898691.8063753857,-399.557117040458,3
942.1114667281456,1,-1053919.2040271198,2035.1343177251513,INT
-771.4309008602415,0,770591.2013423363,1606.7709677243847,1
2056.710247277514,1,-2717766.8664911212,-1875.8990815292532,1
465.1250540496546,1,-1621852.8300821239,-224.3433276666883,3
-2832.118319806962,1,799460.7762387004,242.04288613832622,1
2438.879773133006,0,-951644.2085084335,1000.6334750516886,1
1599.7551845237579,0,-641159.5330807818,2476.5458391098537,3
52.15872525832469,1,77352.3280040404,701.4623723535204,INT
531.410225494472,0,3292956.1847556666,-3311.613180296041,0
957.0764268576985,0,-1482171.2794078225,1940.8986600091102,3
-391.50243812287704,1,2179526.3631041176,847.5016143760544,3
492.6884901964161,0,5054194.972867773,-1252.5051420889135,1
838.5614528982767,0,-1402551.4796443596,284.01352516134347,3
-465.4770365096076,0,-2509632.487510486,-4038.683057083313,3
-751.328100658316,0,-2263229.298450665,-1754.1259421917382,3
688.5325996320148,1,1456792.492742402,1122.4485376431753,3
-2038.9372926722167,1,1521109.3642417202,-2732.43630732009,FIN
-359.1008756778054,0,3339288.1086070845,2669.8603140304863,1
-1251.0285530525089,1,592007.7996945045,1347.8790840456852,INT
1108.4330520831181,0,719658.6266822753,-2234.425478414667,3
-402.0212002435545,0,2460582.5895029884,-7.845607751096107,3
0.2896852261922245,1,-1406131.1021883595,2193.571394483145,FIN
2256.7592688331797,1,-3095375.5266752774,-527.0393902562842,INT
-693.1595502194026,1,389926.59891267976,-2309.8923785159286,1
-171.41418434191485,1,-714509.1223534277,563.7086035095426,1
1390.52004003665,0,1511238.6627919837,1236.3299163663673,1
-3101.3356415240673,1,-2902978.8710517623,3981.3907863596287,3
493.00577038360734,0,-2841428.0830108463,-2836.1125777654634,3
-128.50725095722183,1,-1408913.8279021955,161.9739303157063,INT
-1700.9809909870432,1,2000418.8014353532,-1102.403758932642,FIN
163.74365584065634,1,883451.8325151905,2653.240234104283,INT
-1762.0842835029189,1,-507901.0557346438,-291.6783710241244,3
826.5690703773085,0,51900.27015764894,-266.05947918620296,0
-415.5016802735281,1,4414095.559701659,-1254.3247070449622,1
655.7594325206609,0,902300.8583283485,1179.27545863342,3
-497.0048602959714,1,-2175303.325074156,-377.4434278854337,INT
-873.1823077445488,1,3720044.9279736443,-177.19448994617403,3
-1204.9937151304243,0,2183803.343447321,-826.7845929624829,3
1297.5798437663161,1,-898970.8388430829,-3397.5965696712997,1
-1185.6440178857943,1,-3528.4670478104963,869.8951723511019,FIN
1754.826426121297,0,-2170275.4878197853,-3233.0110040947125,3
-2948.6600276794657,0,1915120.304216762,-160.63839393507604,3
-415.4588157339608,1,-236036.40198377275,-287.04940180836684,3
4.111161663910417,0,-3264875.979080852,-1145.1954109080248,1
47.37361580732128,0,-2616467.8851300646,-1247.4118056317468,1
-899.7927550560363,1,-1700592.792871245,-2311.13578108535,1
-940.0227926080764,0,-474557.78665844584,-3730.4739982292954,3
-702.3637191319431,0,1272901.8275001566,-1875.8955624858922,3
1110.9914472699172,1,1799027.5348896736,1217.0138181055402,INT
21.041062710256362,1,2842535.2492484185,729.4026122274369,3
-1059.0435133387982,1,331496.99774705706,-154.69615528367908,3
408.646229704916,1,209433.53894918604,2109.405990461666,INT
643.6370667513282,1,602722.5159745574,179.74967077373972,3
1146.678865597605,0,-889309.6847324403,3546.5023302740883,0
-2981.8702073649606,0,4042388.931725095,-1339.158969061909,3
110.14575106422713,1,911318.9818509221,921.9630322901418,INT
1518.470143003156,1,-1514795.9007257686,744.2329564667187,3
-1408.8836494166464,1,-1194831.4241698233,1912.830201898261,FIN
-171.10816440894558,0,-1561703.8729539495,3748.3330421711744,0
481.57176634871905,0,3788657.2361010583,-428.86888332769314,3
-2350.4081560708896,1,-5090572.04022037,296.104600117464,3
-2428.198502464193,1,116545.8320665426,-795.4915881087877,INT
-1065.8768716001339,0,-1237622.1644656137,-14.25471687521377,3
-1893.20070285714,1,-417455.1186269469,-1137.0573647790966,1
58.912537115603826,1,2130382.408837388,240.03770318801034,3
-2425.537631971885,1,-1879815.5336396392,-3301.100229287956,3
2226.1749786974187,0,-1143095.7743549738,2358.955763457457,1
-513.9621976838438,0,-606819.864204016,444.0431648110769,3
1439.0485363972466,0,-1427071.9423504418,-2925.9918046998405,3
2665.565719526552,1,718.520259350565,4007.440209595789,INT
91.03924867141545,0,-2386094.344798012,-3526.828743402619,1
1243.4609664272928,0,933615.1745224289,306.4302883254921,3
-998.4639832967304,0,-1510265.802646496,2400.857583900438,3
-624.7778471683287,0,49814.24544903018,-1078.3898390292613,1
