dload,dinpkt,dur,rate,dloss,dttl,sinpkt,dpkts,proto,sbytes,label,sttl,dbytes,sload,sloss,service,spkts,state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,46.0,0.0,0.0,0.0,1,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,1,55.0,0.0,0.0,0.0,1,1.0,3
144154.1094,34.746275,1.034837,47.350452,13.0,252.0,54.465106,30.0,tcp,1100.0,1,62.0,19290.0,8078.566895,6.0,-,20.0,FIN
2841.05542,119.93,0.872915,19.474977,1.0,252.0,96.931222,8.0,tcp,564.0,1,254.0,354.0,4655.665039,2.0,-,10.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,60.0,0,42.0,0.0,0.0,0.0,1,1.0,3
0.0,0.0,0.000418,4782.558723,0.0,0.0,0.000418,0.0,6,132.0,0,239.0,0.0,315648.875713,0.0,1,2.0,3
0.0,0.0,2.002396,1.498205,0.0,0.0,1.001198,0.0,6,234.0,0,64.0,0.0,116.859995,0.0,1,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,246.0,0.0,0.0,0.0,1,1.0,3
3242.189209,99.308,0.552713,27.13886,1.0,252.0,58.56,6.0,tcp,710.0,1,254.0,268.0,9248.923828,2.0,-,10.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,6e-06,166666.6608,0.0,0.0,0.006,0.0,egp,180.0,1,254.0,0.0,119999992.0,0.0,-,2.0,INT
275.010764,0.009758,1.367219,5.851293,0.0,55.0,0.341805,3.0,6,775.0,0,64.0,376.0,566.843996,0.0,1,5.0,3
